IDSinhVien|MaMonHoc|TenDot|DiemTongKet|ThuocKCNTT|TenMonHoc
1610006|004119|HK2 (2017-2018)|9.0|1|Lập trình hướng đối tượng
1610006|002990|HK1 (2018-2019)|9.9|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610006|004021|HK1 (2018-2019)|8.3|1|Lập trình GUI với Qt Framework
1610006|014181|HK1 (2018-2019)|9.4|1|Hệ quản trị CSDL NoSQL MongoDB
1610006|004024|HK2 (2018-2019)|9.0|1|Nhập môn dữ liệu lớn
1610006|004196|HK2 (2018-2019)|9.6|1|Quản lý dự án CNTT
1610006|003664|HK1 (2019-2020)|8.6|0|Xã hội học
1610006|003406|HK1 (2019-2020)|9.1|1|Lập trình Phân Tán Công Nghệ .NET
1610006|004023|HK2 (2019-2020)|9.7|1|Đảm bảo chất lượng và Kiểm thử phần mềm
1610006|001899|HK2 (2019-2020)|9.6|1|Công nghệ phần mềm
1610006|015033|HK2 (2019-2020)|9.6|1|Đồ họa máy tính
1610007|003822|HK2 (2016-2017)|8.5|0|Logic học
1610007|003605|HK2 (2016-2017)|9.2|0|Phương pháp tính
1610007|015400|HK1 (2017-2018)|8.7|1|Công nghệ thông tin trong chuyển đổi số
1610007|004119|HK2 (2017-2018)|8.5|1|Lập trình hướng đối tượng
1610007|002876|HK1 (2018-2019)|8.6|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610007|014181|HK1 (2018-2019)|8.6|1|Hệ quản trị CSDL NoSQL MongoDB
1610007|004024|HK2 (2018-2019)|8.8|1|Nhập môn dữ liệu lớn
1610007|004196|HK2 (2018-2019)|8.2|1|Quản lý dự án CNTT
1610007|003748|HK1 (2019-2020)|7.1|0|Hội Họa
1610007|014192|HK1 (2019-2020)|8.5|0|Kỹ năng sử dụng bàn phím và thiết bị văn phòng
1610007|002804|HK1 (2019-2020)|8.7|1|Lập trình phân tán với công nghệ Java
1610008|003697|HK2 (2016-2017)|6.8|0|Toán ứng dụng
1610008|015395|HK1 (2017-2018)|5.3|0|Ứng dụng hóa học trong Công nghiệp
1610008|001479|HK1 (2017-2018)|6.7|0|Địa lí kinh tế
1610008|004119|HK2 (2017-2018)|6.3|1|Lập trình hướng đối tượng
1610008|002990|HK1 (2018-2019)|8.0|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610008|014181|HK1 (2018-2019)|6.4|1|Hệ quản trị CSDL NoSQL MongoDB
1610008|004196|HK2 (2018-2019)|6.8|1|Quản lý dự án CNTT
1610008|014192|HK1 (2019-2020)|7.1|0|Kỹ năng sử dụng bàn phím và thiết bị văn phòng
1610008|003406|HK1 (2019-2020)|6.2|1|Lập trình Phân Tán Công Nghệ .NET
1610008|015033|HK2 (2019-2020)|6.4|1|Đồ họa máy tính
1610008|015436|HK2 (2019-2020)|6.2|1|Phát triển giao diện ứng dụng
1610009|003605|HK2 (2016-2017)|5.6|0|Phương pháp tính
1610009|014233|HK1 (2017-2018)|5.8|1|Ngôn ngữ Python
1610009|014234|HK1 (2017-2018)|6.0|1|Tính toán số & Matlab
1610009|004022|HK2 (2017-2018)|5.8|1|Lập trình phân tích dữ liệu 1
1610009|004119|HK2 (2017-2018)|5.8|1|Lập trình hướng đối tượng
1610009|003953|HK1 (2018-2019)|4.4|1|Lập trình phân tích dữ liệu 2
1610009|002876|HK1 (2018-2019)|6.3|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610009|014181|HK1 (2018-2019)|5.0|1|Hệ quản trị CSDL NoSQL MongoDB
1610009|004024|HK2 (2018-2019)|5.5|1|Nhập môn dữ liệu lớn
1610009|002804|HK1 (2019-2020)|5.7|1|Lập trình phân tán với công nghệ Java
1610009|001758|HK1 (2019-2020)|5.8|1|Phân tích thiết kế giải thuật
1610009|015458|HK2 (2019-2020)|5.9|1|Kiến trúc hướng dịch vụ và Điện toán đám mây
1610010|003822|HK2 (2016-2017)|8.0|0|Logic học
1610010|003877|HK1 (2017-2018)|6.9|0|Môi trường và con người
1610010|014233|HK1 (2017-2018)|6.5|1|Ngôn ngữ Python
1610010|004022|HK2 (2017-2018)|6.9|1|Lập trình phân tích dữ liệu 1
1610010|003953|HK1 (2018-2019)|5.9|1|Lập trình phân tích dữ liệu 2
1610010|004024|HK2 (2018-2019)|7.9|1|Nhập môn dữ liệu lớn
1610010|003622|HK1 (2019-2020)|6.0|0|Tâm lý học đại cương
1610010|015033|HK2 (2019-2020)|6.1|1|Đồ họa máy tính
1610011|014233|HK1 (2017-2018)|8.3|1|Ngôn ngữ Python
1610011|004119|HK2 (2017-2018)|8.5|1|Lập trình hướng đối tượng
1610011|004351|HK2 (2017-2018)|9.7|1|Kỹ thuật điện tử
1610011|004022|HK2 (2017-2018)|8.5|1|Lập trình phân tích dữ liệu 1
1610011|002876|HK1 (2018-2019)|8.6|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610011|014181|HK1 (2018-2019)|8.7|1|Hệ quản trị CSDL NoSQL MongoDB
1610011|004024|HK2 (2018-2019)|8.6|1|Nhập môn dữ liệu lớn
1610011|002804|HK1 (2019-2020)|8.6|1|Lập trình phân tán với công nghệ Java
1610011|001758|HK1 (2019-2020)|8.1|1|Phân tích thiết kế giải thuật
1610012|003582|HK1 (2017-2018)|6.1|0|Kỹ năng xây dựng kế hoạch
1610012|014233|HK1 (2017-2018)|8.2|1|Ngôn ngữ Python
1610012|004022|HK2 (2017-2018)|6.0|1|Lập trình phân tích dữ liệu 1
1610012|003953|HK1 (2018-2019)|7.5|1|Lập trình phân tích dữ liệu 2
1610012|004024|HK2 (2018-2019)|6.9|1|Nhập môn dữ liệu lớn
1610012|003634|HK1 (2019-2020)|8.3|0|Âm nhạc – Nhạc lý và Guitar căn bản
1610013|015395|HK1 (2017-2018)|7.6|0|Ứng dụng hóa học trong Công nghiệp
1610013|014235|HK1 (2017-2018)|7.0|1|Ngôn ngữ R
1610013|014233|HK1 (2017-2018)|7.9|1|Ngôn ngữ Python
1610013|015400|HK1 (2017-2018)|6.6|1|Công nghệ thông tin trong chuyển đổi số
1610013|004119|HK2 (2017-2018)|7.5|1|Lập trình hướng đối tượng
1610013|002990|HK1 (2018-2019)|7.6|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610013|003953|HK1 (2018-2019)|7.1|1|Lập trình phân tích dữ liệu 2
1610013|014181|HK1 (2018-2019)|7.6|1|Hệ quản trị CSDL NoSQL MongoDB
1610013|003406|HK1 (2019-2020)|8.4|1|Lập trình Phân Tán Công Nghệ .NET
1610013|015436|HK2 (2019-2020)|5.5|1|Phát triển giao diện ứng dụng
1610013|001899|HK2 (2019-2020)|8.6|1|Công nghệ phần mềm
1610013|015033|HK2 (2019-2020)|8.2|1|Đồ họa máy tính
1610014|014233|HK1 (2017-2018)|9.3|1|Ngôn ngữ Python
1610014|004022|HK2 (2017-2018)|9.5|1|Lập trình phân tích dữ liệu 1
1610014|003953|HK1 (2018-2019)|9.7|1|Lập trình phân tích dữ liệu 2
1610014|004024|HK2 (2018-2019)|9.6|1|Nhập môn dữ liệu lớn
1610014|003664|HK1 (2019-2020)|9.0|0|Xã hội học
1610014|003622|HK1 (2019-2020)|9.3|0|Tâm lý học đại cương
1610015|003783|HK2 (2016-2017)|1.6|0|Hàm phức và phép biến đổi Laplace
1610015|014233|HK1 (2017-2018)|4.8|1|Ngôn ngữ Python
1610015|014235|HK1 (2017-2018)|4.6|1|Ngôn ngữ R
1610015|014234|HK1 (2017-2018)|0.5|1|Tính toán số & Matlab
1610015|004022|HK2 (2017-2018)|4.9|1|Lập trình phân tích dữ liệu 1
1610015|003953|HK1 (2018-2019)|5.3|1|Lập trình phân tích dữ liệu 2
1610015|003952|HK2 (2018-2019)|4.9|0|Tiếp thị điện tử
1610015|004024|HK2 (2018-2019)|5.1|1|Nhập môn dữ liệu lớn
1610015|003748|HK1 (2019-2020)|0.3|0|Hội Họa
1610016|003605|HK2 (2016-2017)|5.4|0|Phương pháp tính
1610016|014233|HK1 (2017-2018)|5.4|1|Ngôn ngữ Python
1610016|004022|HK2 (2017-2018)|4.0|1|Lập trình phân tích dữ liệu 1
1610016|003953|HK1 (2018-2019)|4.0|1|Lập trình phân tích dữ liệu 2
1610016|004024|HK2 (2018-2019)|5.2|1|Nhập môn dữ liệu lớn
1610017|014233|HK1 (2017-2018)|5.5|1|Ngôn ngữ Python
1610017|014234|HK1 (2017-2018)|6.9|1|Tính toán số & Matlab
1610017|004022|HK2 (2017-2018)|5.1|1|Lập trình phân tích dữ liệu 1
1610017|003953|HK1 (2018-2019)|5.7|1|Lập trình phân tích dữ liệu 2
1610017|003952|HK2 (2018-2019)|6.9|0|Tiếp thị điện tử
1610017|004024|HK2 (2018-2019)|6.6|1|Nhập môn dữ liệu lớn
1610017|004196|HK2 (2018-2019)|7.2|1|Quản lý dự án CNTT
1610017|014192|HK1 (2019-2020)|6.8|0|Kỹ năng sử dụng bàn phím và thiết bị văn phòng
1610017|003748|HK1 (2019-2020)|6.1|0|Hội Họa
1610018|015396|HK1 (2017-2018)|5.1|0|Ứng dụng 5S và Kaizen trong sản xuất
1610018|003877|HK1 (2017-2018)|5.4|0|Môi trường và con người
1610018|014233|HK1 (2017-2018)|5.0|1|Ngôn ngữ Python
1610018|004022|HK2 (2017-2018)|4.1|1|Lập trình phân tích dữ liệu 1
1610018|004119|HK2 (2017-2018)|4.2|1|Lập trình hướng đối tượng
1610018|003953|HK1 (2018-2019)|4.5|1|Lập trình phân tích dữ liệu 2
1610018|002990|HK1 (2018-2019)|4.2|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610018|003952|HK2 (2018-2019)|5.0|0|Tiếp thị điện tử
1610018|004024|HK2 (2018-2019)|4.3|1|Nhập môn dữ liệu lớn
1610018|003622|HK1 (2019-2020)|5.0|0|Tâm lý học đại cương
1610019|014233|HK1 (2017-2018)|8.6|1|Ngôn ngữ Python
1610019|004119|HK2 (2017-2018)|7.2|1|Lập trình hướng đối tượng
1610019|004022|HK2 (2017-2018)|6.8|1|Lập trình phân tích dữ liệu 1
1610019|002876|HK1 (2018-2019)|6.9|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610019|003953|HK1 (2018-2019)|7.4|1|Lập trình phân tích dữ liệu 2
1610019|014181|HK1 (2018-2019)|8.0|1|Hệ quản trị CSDL NoSQL MongoDB
1610019|004196|HK2 (2018-2019)|7.4|1|Quản lý dự án CNTT
1610019|002804|HK1 (2019-2020)|7.8|1|Lập trình phân tán với công nghệ Java
1610019|015458|HK2 (2019-2020)|8.2|1|Kiến trúc hướng dịch vụ và Điện toán đám mây
1610019|015060|HK2 (2019-2020)|7.1|1|Phân tích và quản lý yêu cầu
1610019|015036|HK2 (2019-2020)|7.8|1|Ngôn ngữ lập trình
1610020|003697|HK2 (2016-2017)|7.2|0|Toán ứng dụng
1610020|003877|HK1 (2017-2018)|8.2|0|Môi trường và con người
1610020|015400|HK1 (2017-2018)|8.2|1|Công nghệ thông tin trong chuyển đổi số
1610020|004119|HK2 (2017-2018)|7.0|1|Lập trình hướng đối tượng
1610020|002876|HK1 (2018-2019)|7.2|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610020|014181|HK1 (2018-2019)|7.5|1|Hệ quản trị CSDL NoSQL MongoDB
1610020|001729|HK2 (2018-2019)|7.7|1|Tương tác người máy
1610020|003634|HK1 (2019-2020)|7.8|0|Âm nhạc – Nhạc lý và Guitar căn bản
1610020|003733|HK1 (2019-2020)|7.8|0|Cơ sở văn hóa Việt Nam
1610020|002804|HK1 (2019-2020)|7.4|1|Lập trình phân tán với công nghệ Java
1610021|004119|HK2 (2017-2018)|6.6|1|Lập trình hướng đối tượng
1610021|004022|HK2 (2017-2018)|6.4|1|Lập trình phân tích dữ liệu 1
1610021|002990|HK1 (2018-2019)|5.6|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610021|001730|HK1 (2018-2019)|5.9|1|Automat & ngôn ngữ hình thức
1610021|014181|HK1 (2018-2019)|6.7|1|Hệ quản trị CSDL NoSQL MongoDB
1610021|003406|HK1 (2019-2020)|6.3|1|Lập trình Phân Tán Công Nghệ .NET
1610021|015033|HK2 (2019-2020)|6.6|1|Đồ họa máy tính
1610021|015458|HK2 (2019-2020)|6.1|1|Kiến trúc hướng dịch vụ và Điện toán đám mây
1610021|015060|HK2 (2019-2020)|6.0|1|Phân tích và quản lý yêu cầu
1610021|001899|HK2 (2019-2020)|6.0|1|Công nghệ phần mềm
1610022|015400|HK1 (2017-2018)|7.6|1|Công nghệ thông tin trong chuyển đổi số
1610022|004119|HK2 (2017-2018)|7.9|1|Lập trình hướng đối tượng
1610022|004022|HK2 (2017-2018)|8.5|1|Lập trình phân tích dữ liệu 1
1610022|002876|HK1 (2018-2019)|8.5|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610022|014181|HK1 (2018-2019)|8.7|1|Hệ quản trị CSDL NoSQL MongoDB
1610022|004021|HK1 (2018-2019)|8.7|1|Lập trình GUI với Qt Framework
1610022|004196|HK2 (2018-2019)|8.5|1|Quản lý dự án CNTT
1610022|002804|HK1 (2019-2020)|8.6|1|Lập trình phân tán với công nghệ Java
1610022|001758|HK1 (2019-2020)|8.8|1|Phân tích thiết kế giải thuật
1610022|015033|HK2 (2019-2020)|8.6|1|Đồ họa máy tính
1610023|003697|HK2 (2016-2017)|7.5|0|Toán ứng dụng
1610023|003783|HK2 (2016-2017)|8.1|0|Hàm phức và phép biến đổi Laplace
1610023|001479|HK1 (2017-2018)|7.8|0|Địa lí kinh tế
1610023|003877|HK1 (2017-2018)|8.2|0|Môi trường và con người
1610023|014233|HK1 (2017-2018)|7.5|1|Ngôn ngữ Python
1610023|004119|HK2 (2017-2018)|7.3|1|Lập trình hướng đối tượng
1610023|004022|HK2 (2017-2018)|7.7|1|Lập trình phân tích dữ liệu 1
1610023|002990|HK1 (2018-2019)|7.5|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610023|014181|HK1 (2018-2019)|7.2|1|Hệ quản trị CSDL NoSQL MongoDB
1610023|003406|HK1 (2019-2020)|7.9|1|Lập trình Phân Tán Công Nghệ .NET
1610024|014234|HK1 (2017-2018)|5.1|1|Tính toán số & Matlab
1610024|004119|HK2 (2017-2018)|5.4|1|Lập trình hướng đối tượng
1610024|002990|HK1 (2018-2019)|5.3|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610024|014181|HK1 (2018-2019)|5.5|1|Hệ quản trị CSDL NoSQL MongoDB
1610024|001729|HK2 (2018-2019)|4.1|1|Tương tác người máy
1610024|004024|HK2 (2018-2019)|5.3|1|Nhập môn dữ liệu lớn
1610024|003622|HK1 (2019-2020)|5.2|0|Tâm lý học đại cương
1610024|003406|HK1 (2019-2020)|5.4|1|Lập trình Phân Tán Công Nghệ .NET
1610024|001758|HK1 (2019-2020)|5.2|1|Phân tích thiết kế giải thuật
1610024|015036|HK2 (2019-2020)|5.0|1|Ngôn ngữ lập trình
1610024|001899|HK2 (2019-2020)|5.1|1|Công nghệ phần mềm
1610024|015458|HK2 (2019-2020)|5.8|1|Kiến trúc hướng dịch vụ và Điện toán đám mây
1610025|003697|HK2 (2016-2017)|5.6|0|Toán ứng dụng
1610025|015396|HK1 (2017-2018)|6.9|0|Ứng dụng 5S và Kaizen trong sản xuất
1610025|014233|HK1 (2017-2018)|5.9|1|Ngôn ngữ Python
1610025|004022|HK2 (2017-2018)|6.5|1|Lập trình phân tích dữ liệu 1
1610025|004119|HK2 (2017-2018)|5.0|1|Lập trình hướng đối tượng
1610025|003953|HK1 (2018-2019)|6.9|1|Lập trình phân tích dữ liệu 2
1610025|002990|HK1 (2018-2019)|6.6|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610025|002876|HK1 (2018-2019)|5.7|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610025|004024|HK2 (2018-2019)|6.6|1|Nhập môn dữ liệu lớn
1610025|003748|HK1 (2019-2020)|7.2|0|Hội Họa
1610025|003633|HK1 (2019-2020)|6.1|0|Tiếng Việt thực hành
1610025|015436|HK2 (2019-2020)|5.9|1|Phát triển giao diện ứng dụng
1610026|003697|HK2 (2016-2017)|7.2|0|Toán ứng dụng
1610026|003582|HK1 (2017-2018)|7.2|0|Kỹ năng xây dựng kế hoạch
1610026|004119|HK2 (2017-2018)|7.8|1|Lập trình hướng đối tượng
1610026|002990|HK1 (2018-2019)|7.0|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610026|014181|HK1 (2018-2019)|7.0|1|Hệ quản trị CSDL NoSQL MongoDB
1610026|003406|HK1 (2019-2020)|7.5|1|Lập trình Phân Tán Công Nghệ .NET
1610027|003783|HK2 (2016-2017)|8.7|0|Hàm phức và phép biến đổi Laplace
1610027|003877|HK1 (2017-2018)|10.0|0|Môi trường và con người
1610027|014234|HK1 (2017-2018)|8.5|1|Tính toán số & Matlab
1610027|004119|HK2 (2017-2018)|9.8|1|Lập trình hướng đối tượng
1610027|004351|HK2 (2017-2018)|8.2|1|Kỹ thuật điện tử
1610027|002990|HK1 (2018-2019)|9.1|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610027|014181|HK1 (2018-2019)|8.3|1|Hệ quản trị CSDL NoSQL MongoDB
1610027|004196|HK2 (2018-2019)|8.5|1|Quản lý dự án CNTT
1610027|001729|HK2 (2018-2019)|9.7|1|Tương tác người máy
1610027|003406|HK1 (2019-2020)|8.3|1|Lập trình Phân Tán Công Nghệ .NET
1610027|001758|HK1 (2019-2020)|9.6|1|Phân tích thiết kế giải thuật
1610027|015458|HK2 (2019-2020)|8.7|1|Kiến trúc hướng dịch vụ và Điện toán đám mây
1610028|003783|HK2 (2016-2017)|8.6|0|Hàm phức và phép biến đổi Laplace
1610028|001479|HK1 (2017-2018)|9.6|0|Địa lí kinh tế
1610028|004119|HK2 (2017-2018)|9.0|1|Lập trình hướng đối tượng
1610028|004351|HK2 (2017-2018)|9.5|1|Kỹ thuật điện tử
1610028|002876|HK1 (2018-2019)|8.5|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610028|014181|HK1 (2018-2019)|8.5|1|Hệ quản trị CSDL NoSQL MongoDB
1610028|003664|HK1 (2019-2020)|8.9|0|Xã hội học
1610028|002804|HK1 (2019-2020)|8.2|1|Lập trình phân tán với công nghệ Java
1610028|015436|HK2 (2019-2020)|8.9|1|Phát triển giao diện ứng dụng
1610029|003582|HK1 (2017-2018)|7.5|0|Kỹ năng xây dựng kế hoạch
1610029|014233|HK1 (2017-2018)|7.8|1|Ngôn ngữ Python
1610029|004119|HK2 (2017-2018)|7.9|1|Lập trình hướng đối tượng
1610029|002876|HK1 (2018-2019)|7.3|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610029|003953|HK1 (2018-2019)|7.2|1|Lập trình phân tích dữ liệu 2
1610029|014181|HK1 (2018-2019)|7.4|1|Hệ quản trị CSDL NoSQL MongoDB
1610029|003952|HK2 (2018-2019)|5.9|0|Tiếp thị điện tử
1610029|003748|HK1 (2019-2020)|8.0|0|Hội Họa
1610029|003664|HK1 (2019-2020)|7.8|0|Xã hội học
1610029|014192|HK1 (2019-2020)|7.2|0|Kỹ năng sử dụng bàn phím và thiết bị văn phòng
1610029|002804|HK1 (2019-2020)|6.4|1|Lập trình phân tán với công nghệ Java
1610029|001758|HK1 (2019-2020)|7.8|1|Phân tích thiết kế giải thuật
1610030|004119|HK2 (2017-2018)|8.8|1|Lập trình hướng đối tượng
1610030|002876|HK1 (2018-2019)|8.5|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610030|014181|HK1 (2018-2019)|8.0|1|Hệ quản trị CSDL NoSQL MongoDB
1610030|003622|HK1 (2019-2020)|8.7|0|Tâm lý học đại cương
1610030|002804|HK1 (2019-2020)|8.3|1|Lập trình phân tán với công nghệ Java
1610031|015395|HK1 (2017-2018)|6.3|0|Ứng dụng hóa học trong Công nghiệp
1610031|015400|HK1 (2017-2018)|6.3|1|Công nghệ thông tin trong chuyển đổi số
1610031|004119|HK2 (2017-2018)|6.7|1|Lập trình hướng đối tượng
1610031|004022|HK2 (2017-2018)|7.1|1|Lập trình phân tích dữ liệu 1
1610031|004351|HK2 (2017-2018)|7.9|1|Kỹ thuật điện tử
1610031|002990|HK1 (2018-2019)|6.3|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610031|014181|HK1 (2018-2019)|6.1|1|Hệ quản trị CSDL NoSQL MongoDB
1610031|001729|HK2 (2018-2019)|6.4|1|Tương tác người máy
1610031|003406|HK1 (2019-2020)|6.0|1|Lập trình Phân Tán Công Nghệ .NET
1610031|015458|HK2 (2019-2020)|5.6|1|Kiến trúc hướng dịch vụ và Điện toán đám mây
1610031|015036|HK2 (2019-2020)|5.5|1|Ngôn ngữ lập trình
1610032|003631|HK2 (2016-2017)|5.4|0|Vật lý đại cương
1610032|003877|HK1 (2017-2018)|5.5|0|Môi trường và con người
1610032|015400|HK1 (2017-2018)|7.1|1|Công nghệ thông tin trong chuyển đổi số
1610032|004119|HK2 (2017-2018)|5.0|1|Lập trình hướng đối tượng
1610032|002990|HK1 (2018-2019)|5.8|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610032|014181|HK1 (2018-2019)|5.2|1|Hệ quản trị CSDL NoSQL MongoDB
1610032|003633|HK1 (2019-2020)|5.6|0|Tiếng Việt thực hành
1610032|003733|HK1 (2019-2020)|5.2|0|Cơ sở văn hóa Việt Nam
1610032|003406|HK1 (2019-2020)|6.9|1|Lập trình Phân Tán Công Nghệ .NET
1610032|015436|HK2 (2019-2020)|5.8|1|Phát triển giao diện ứng dụng
1610032|015060|HK2 (2019-2020)|5.6|1|Phân tích và quản lý yêu cầu
1610032|001899|HK2 (2019-2020)|5.0|1|Công nghệ phần mềm
1610033|003605|HK2 (2016-2017)|1.3|0|Phương pháp tính
1610033|003783|HK2 (2016-2017)|0.3|0|Hàm phức và phép biến đổi Laplace
1610033|004119|HK2 (2017-2018)|2.4|1|Lập trình hướng đối tượng
1610033|002876|HK1 (2018-2019)|3.5|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610033|014181|HK1 (2018-2019)|3.9|1|Hệ quản trị CSDL NoSQL MongoDB
1610033|002804|HK1 (2019-2020)|1.1|1|Lập trình phân tán với công nghệ Java
1610033|015060|HK2 (2019-2020)|2.6|1|Phân tích và quản lý yêu cầu
1610034|003877|HK1 (2017-2018)|7.6|0|Môi trường và con người
1610034|003582|HK1 (2017-2018)|7.5|0|Kỹ năng xây dựng kế hoạch
1610034|014233|HK1 (2017-2018)|7.9|1|Ngôn ngữ Python
1610034|014235|HK1 (2017-2018)|5.7|1|Ngôn ngữ R
1610034|004022|HK2 (2017-2018)|7.3|1|Lập trình phân tích dữ liệu 1
1610034|004119|HK2 (2017-2018)|8.2|1|Lập trình hướng đối tượng
1610034|003953|HK1 (2018-2019)|7.0|1|Lập trình phân tích dữ liệu 2
1610034|014181|HK1 (2018-2019)|6.5|1|Hệ quản trị CSDL NoSQL MongoDB
1610034|002990|HK1 (2018-2019)|7.9|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610034|004024|HK2 (2018-2019)|7.3|1|Nhập môn dữ liệu lớn
1610034|003622|HK1 (2019-2020)|6.8|0|Tâm lý học đại cương
1610035|003783|HK2 (2016-2017)|4.8|0|Hàm phức và phép biến đổi Laplace
1610035|003631|HK2 (2016-2017)|4.1|0|Vật lý đại cương
1610035|003582|HK1 (2017-2018)|4.5|0|Kỹ năng xây dựng kế hoạch
1610035|004119|HK2 (2017-2018)|3.4|1|Lập trình hướng đối tượng
1610035|004351|HK2 (2017-2018)|3.6|1|Kỹ thuật điện tử
1610035|004022|HK2 (2017-2018)|4.0|1|Lập trình phân tích dữ liệu 1
1610035|002990|HK1 (2018-2019)|4.1|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610035|014181|HK1 (2018-2019)|4.8|1|Hệ quản trị CSDL NoSQL MongoDB
