IDSinhVien,nganh,so_mon_total,so_mon_dat_total,diem_tb_total,gpa_thang4,so_mon_cntt,so_mon_dat_cntt
1710036,CS,10,10,6.31,2.38,8.0,8.0
1710037,CS,10,8,5.12,1.42,6.0,4.0
1710038,CS,8,8,7.16,3.0,5.0,5.0
1710039,CS,12,12,8.72,3.69,11.0,11.0
1710040,CS,12,12,6.73,2.71,7.0,7.0
1710041,CS,10,10,8.08,3.42,9.0,9.0
1710042,CS,11,6,4.66,1.33,6.0,3.0
1710043,CS,11,2,2.75,0.14,7.0,0.0
1710044,CS,6,6,6.47,2.62,4.0,4.0
1710045,CS,6,6,6.75,2.6,5.0,5.0
1710046,CS,10,10,8.24,3.59,7.0,7.0
1710047,CS,9,9,8.69,3.76,9.0,9.0
1710048,CS,5,5,7.36,2.88,4.0,4.0
1710049,CS,12,0,4.04,0.91,11.0,0.0
1710050,CS,11,11,8.37,3.5,6.0,6.0
1710051,CS,10,10,8.38,3.58,6.0,6.0
1710052,CS,11,11,6.21,2.36,11.0,11.0
1710053,CS,11,11,7.08,2.86,7.0,7.0
1710054,CS,12,12,6.83,2.62,12.0,12.0
1710055,CS,8,8,8.04,3.35,8.0,8.0
1710056,CS,11,11,6.7,2.5,7.0,7.0
1710057,CS,12,12,6.69,2.5,7.0,7.0
1710058,CS,10,10,8.21,3.55,6.0,6.0
1710059,CS,10,10,7.15,2.94,9.0,9.0
1710060,CS,6,6,5.68,2.0,5.0,5.0
1710061,CS,10,10,6.56,2.42,6.0,6.0
1710062,CS,10,10,8.73,3.8,7.0,7.0
1710063,CS,11,2,4.1,0.89,9.0,1.0
1710064,CS,10,10,7.12,2.86,7.0,7.0
1710065,CS,9,9,7.34,3.0,6.0,6.0
1710066,CS,11,1,2.75,0.32,11.0,1.0
1710067,CS,11,11,8.17,3.62,8.0,8.0
1710068,CS,9,9,6.6,2.67,6.0,6.0
1710069,CS,10,10,8.11,3.4,7.0,7.0
1710070,CS,6,6,5.8,1.88,4.0,4.0
1710071,CS,12,12,7.3,3.05,10.0,10.0
1710072,CS,11,11,7.7,3.33,7.0,7.0
1710073,CS,10,10,6.43,2.4,10.0,10.0
1710074,CS,6,2,3.95,1.0,4.0,2.0
1710075,CS,5,5,6.54,2.5,4.0,4.0
1710076,CS,10,10,6.39,2.42,6.0,6.0
1710077,CS,12,12,8.05,3.41,10.0,10.0
1710078,CS,10,10,7.32,2.93,7.0,7.0
1710079,CS,11,11,7.88,3.21,7.0,7.0
1710080,CS,6,6,5.73,2.0,4.0,4.0
1710081,CS,9,9,6.18,2.28,9.0,9.0
1710082,CS,5,5,5.62,2.0,4.0,4.0
1710083,CS,12,12,6.82,2.81,8.0,8.0
1710084,CS,6,6,7.18,2.62,4.0,4.0
1710085,CS,6,6,7.27,2.88,4.0,4.0
1710086,CS,9,9,6.51,2.56,9.0,9.0
1710087,CS,9,8,5.78,2.17,6.0,6.0
1710088,CS,12,12,5.32,1.62,8.0,8.0
1710089,CS,6,6,7.55,3.12,4.0,4.0
1710090,CS,11,11,5.93,2.21,7.0,7.0
1710091,CS,9,9,7.23,2.8,5.0,5.0
1710092,CS,9,9,6.89,2.92,6.0,6.0
1710093,CS,12,12,5.64,2.0,10.0,10.0
1710094,CS,11,11,5.84,2.05,10.0,10.0
1710095,CS,11,11,6.18,2.25,8.0,8.0
1710096,CS,10,10,6.73,2.58,6.0,6.0
1710097,CS,11,11,6.19,2.38,8.0,8.0
1710098,CS,11,11,6.45,2.5,10.0,10.0
1710099,CS,11,11,7.57,3.09,9.0,9.0
1710100,CS,6,6,6.25,2.0,4.0,4.0
1810001,CS,11,11,7.05,2.83,9.0,9.0
1810002,CS,5,5,5.36,1.62,4.0,4.0
1810003,CS,9,9,6.61,2.58,6.0,6.0
1810004,CS,5,5,9.64,4.0,4.0,4.0
1810005,CS,10,10,7.68,2.97,7.0,7.0
1810006,CS,12,9,4.84,1.36,7.0,5.0
1810007,CS,10,10,8.22,3.55,6.0,6.0
1810008,CS,6,6,7.82,3.25,4.0,4.0
1810009,CS,10,10,7.41,3.05,6.0,6.0
1810010,CS,10,10,7.38,2.94,9.0,9.0
1810011,CS,5,5,6.82,2.88,4.0,4.0
1810012,CS,6,6,6.65,2.7,5.0,5.0
1810013,CS,12,9,4.85,1.45,11.0,9.0
1810014,CS,12,12,8.49,3.81,7.0,7.0
1810015,CS,11,11,8.4,3.61,9.0,9.0
1810016,CS,11,11,7.58,3.0,7.0,7.0
1810017,CS,5,5,7.46,3.12,4.0,4.0
1810018,CS,10,10,6.54,2.67,6.0,6.0
1810019,CS,12,12,6.16,2.35,10.0,10.0
1810020,CS,11,11,7.63,3.13,6.0,6.0
1810021,CS,10,9,5.63,1.9,10.0,9.0
1810022,CS,11,11,9.21,3.92,11.0,11.0
1810023,CS,10,10,8.06,3.46,10.0,10.0
1810024,CS,12,7,5.03,1.43,7.0,4.0
1810025,CS,12,2,4.3,1.07,7.0,1.0
1810026,CS,11,10,5.58,1.75,6.0,5.0
1810027,CS,11,9,5.11,1.56,9.0,8.0
1810028,CS,11,11,6.72,2.6,10.0,10.0
1810029,CS,9,9,7.52,3.06,9.0,9.0
1810030,CS,9,9,6.37,2.5,6.0,6.0
1810031,CS,11,11,6.43,2.5,6.0,6.0
1810032,CS,12,12,6.32,2.36,11.0,11.0
1810033,CS,9,9,7.61,3.09,9.0,9.0
1810034,CS,9,9,7.33,3.0,6.0,6.0
1810035,CS,8,8,6.85,2.8,5.0,5.0
1810036,CS,6,6,7.38,2.88,4.0,4.0
1810037,CS,12,12,8.6,3.74,7.0,7.0
1810038,CS,11,11,7.55,3.0,9.0,9.0
1810039,CS,5,5,8.42,3.58,4.0,4.0
1810040,CS,10,1,3.1,0.42,6.0,1.0
1810041,CS,10,10,6.54,2.57,7.0,7.0
1810042,CS,9,9,7.47,3.08,6.0,6.0
1810043,CS,6,6,6.3,2.5,4.0,4.0
1810044,CS,11,11,7.24,3.0,7.0,7.0
1810045,CS,8,8,7.74,3.22,8.0,8.0
1810046,CS,12,12,8.74,3.76,8.0,8.0
1810047,CS,6,6,8.57,3.64,5.0,5.0
1810048,CS,12,12,7.61,3.22,8.0,8.0
1810049,CS,10,10,9.17,3.88,6.0,6.0
1810050,CS,10,10,8.72,3.73,7.0,7.0
1810051,CS,11,0,1.38,0.0,7.0,0.0
1810052,CS,11,11,8.37,3.51,11.0,11.0
1810053,CS,9,7,5.69,1.75,6.0,5.0
1810054,CS,11,11,7.27,3.0,7.0,7.0
1810055,CS,6,6,7.12,2.62,4.0,4.0
1810056,CS,10,10,7.46,2.97,7.0,7.0
1810057,CS,10,1,2.46,0.58,6.0,1.0
1810058,CS,6,5,5.55,1.9,5.0,4.0
1810059,CS,9,9,7.76,3.08,6.0,6.0
1810060,CS,12,10,4.92,1.35,10.0,9.0
1810061,CS,9,9,7.26,2.89,9.0,9.0
1810062,CS,10,10,7.42,3.0,10.0,10.0
1810063,CS,10,10,7.5,2.94,9.0,9.0
1810064,CS,12,12,8.79,3.71,7.0,7.0
1810065,CS,11,11,8.88,3.74,9.0,9.0
1810066,CS,11,11,6.25,2.33,6.0,6.0
1810067,CS,6,6,7.38,3.0,4.0,4.0
1810068,CS,10,2,4.46,1.14,7.0,2.0
1810069,CS,12,12,5.62,1.86,7.0,7.0
1810070,CS,11,11,8.95,3.87,6.0,6.0
1810071,CS,11,11,7.33,3.06,9.0,9.0
1810072,CS,12,12,7.27,2.94,11.0,11.0
1810073,CS,10,10,7.36,3.08,6.0,6.0
1810074,CS,12,12,7.08,2.71,7.0,7.0
1810075,CS,5,5,7.46,2.88,4.0,4.0
1810076,CS,5,5,5.98,2.25,4.0,4.0
1810077,CS,6,6,7.17,3.0,5.0,5.0
1810078,CS,5,5,5.44,1.75,4.0,4.0
1810079,CS,9,9,7.72,3.35,8.0,8.0
1810080,CS,12,12,7.2,2.86,7.0,7.0
1810081,CS,12,12,7.45,3.14,7.0,7.0
1810082,CS,11,11,5.71,2.0,10.0,10.0
1810083,CS,5,5,6.58,2.62,4.0,4.0
1810084,CS,5,5,5.88,1.88,4.0,4.0
1810085,CS,8,8,8.49,3.69,8.0,8.0
1810086,CS,10,9,5.51,1.93,7.0,6.0
1810087,CS,10,10,9.19,3.88,6.0,6.0
1810088,CS,12,9,5.18,1.43,7.0,4.0
1810089,CS,12,10,5.2,1.5,7.0,6.0
1810090,CS,12,12,6.62,2.5,7.0,7.0
1810091,CS,11,11,5.73,2.0,8.0,8.0
1810092,CS,9,9,6.82,2.56,8.0,8.0
1810093,CS,12,12,8.53,3.63,12.0,12.0
1810094,CS,12,12,7.65,3.0,7.0,7.0
1810095,CS,12,12,5.56,1.95,10.0,10.0
1810096,CS,9,9,7.84,3.17,6.0,6.0
1810097,CS,11,11,6.63,2.67,6.0,6.0
1810098,CS,9,9,8.59,3.7,6.0,6.0
1810099,CS,6,6,7.97,3.3,5.0,5.0
1810100,CS,11,11,5.95,2.23,11.0,11.0
1910001,CS,12,12,7.38,3.0,9.0,9.0
1910002,CS,9,9,6.4,2.58,6.0,6.0
1910003,CS,12,12,8.3,3.56,10.0,10.0
1910004,CS,6,6,8.45,3.52,4.0,4.0
1910005,CS,5,1,3.76,0.88,4.0,1.0
1910006,CS,11,9,5.68,1.86,11.0,9.0
1910007,CS,11,11,7.25,2.93,7.0,7.0
1910008,CS,8,8,7.65,2.86,5.0,5.0
1910009,CS,9,5,5.07,1.25,6.0,2.0
1910010,CS,6,5,5.1,1.5,5.0,5.0
1910011,CS,6,4,5.03,1.4,5.0,3.0
1910012,CS,12,12,7.21,2.86,11.0,11.0
1910013,CS,11,11,7.65,3.21,11.0,11.0
1910014,CS,11,11,8.54,3.65,6.0,6.0
1910015,CS,10,10,6.38,2.5,7.0,7.0
1910016,CS,10,10,8.2,3.48,10.0,10.0
1910017,CS,9,9,9.23,3.93,6.0,6.0
1910018,CS,10,10,7.49,3.0,10.0,10.0
1910019,CS,11,11,7.43,3.06,8.0,8.0
1910020,CS,12,12,8.68,3.83,7.0,7.0
1910021,CS,11,11,7.83,3.3,11.0,11.0
1910022,CS,11,9,5.07,1.38,8.0,6.0
1910023,CS,5,5,7.14,3.0,4.0,4.0
1910024,CS,12,12,9.38,3.95,11.0,11.0
1910025,CS,10,10,5.97,2.21,7.0,7.0
1910026,CS,11,11,6.68,2.5,7.0,7.0
1910027,CS,11,9,5.49,1.42,6.0,4.0
1910028,CS,9,9,6.51,2.38,8.0,8.0
1910029,CS,11,11,8.05,3.4,10.0,10.0
1910030,CS,12,12,7.36,2.95,10.0,10.0
1910031,CS,10,10,7.72,3.11,9.0,9.0
1910032,CS,6,6,7.92,3.4,5.0,5.0
1910033,CS,11,8,5.09,1.62,8.0,6.0
1910034,CS,12,12,8.32,3.55,8.0,8.0
1910035,CS,11,11,7.57,3.0,6.0,6.0
1910036,CS,11,10,5.25,1.56,9.0,8.0
1910037,CS,6,6,6.9,2.7,5.0,5.0
1910038,CS,8,8,7.45,3.1,5.0,5.0
1910039,CS,11,11,8.12,3.35,8.0,8.0
1910040,CS,11,11,6.46,2.55,11.0,11.0
1910041,CS,6,6,5.9,2.0,4.0,4.0
1910042,CS,8,8,7.19,2.76,5.0,5.0
1910043,CS,11,11,6.39,2.36,7.0,7.0
1910044,CS,12,12,7.3,3.19,7.0,7.0
1910045,CS,10,10,6.04,2.28,9.0,9.0
1910046,CS,7,7,5.63,2.0,5.0,5.0
1910047,CS,10,10,6.4,2.33,6.0,6.0
1910048,CS,5,5,6.84,2.75,4.0,4.0
1910049,CS,12,12,6.07,2.14,7.0,7.0
1910050,CS,12,12,7.23,2.94,8.0,8.0
1910051,CS,11,1,4.15,0.86,11.0,1.0
1910052,CS,9,9,7.29,3.06,5.0,5.0
1910053,CS,6,6,6.38,2.5,4.0,4.0
1910054,CS,12,9,5.21,1.5,10.0,8.0
1910055,CS,12,12,7.7,3.18,9.0,9.0
1910056,CS,10,0,3.67,0.67,6.0,0.0
1910057,CS,6,6,6.6,2.4,5.0,5.0
1910058,CS,9,9,7.66,3.1,5.0,5.0
1910059,CS,6,3,4.15,1.38,4.0,3.0
1910060,CS,10,10,8.07,3.38,10.0,10.0
1910061,CS,5,5,7.44,2.88,4.0,4.0
1910062,CS,11,11,5.75,2.0,7.0,7.0
1910063,CS,12,12,8.8,3.83,7.0,7.0
1910064,CS,11,11,8.49,3.71,8.0,8.0
1910065,CS,9,9,7.57,3.06,9.0,9.0
1910066,CS,10,1,2.44,0.21,7.0,1.0
1910067,CS,6,6,7.57,3.12,4.0,4.0
1910068,CS,12,12,8.49,3.72,11.0,11.0
1910069,CS,10,10,6.26,2.5,7.0,7.0
1910070,CS,11,11,6.63,2.44,9.0,9.0
1910071,CS,12,12,7.88,3.21,7.0,7.0
1910072,CS,8,8,8.3,3.66,5.0,5.0
1910073,CS,10,10,7.67,3.08,6.0,6.0
1910074,CS,12,2,4.18,1.0,12.0,2.0
1910075,CS,10,10,5.64,1.9,5.0,5.0
1910076,CS,11,11,8.25,3.5,6.0,6.0
1910077,CS,11,11,7.82,3.22,6.0,6.0
1910078,CS,11,11,7.53,3.11,9.0,9.0
1910079,CS,9,6,4.6,1.17,6.0,4.0
1910080,CS,6,6,7.03,2.88,4.0,4.0
1910081,CS,9,9,6.46,2.39,9.0,9.0
1910082,CS,12,12,5.92,2.07,7.0,7.0
1910083,CS,9,9,6.32,2.4,5.0,5.0
1910084,CS,6,6,7.33,3.1,5.0,5.0
1910085,CS,11,11,7.5,3.0,7.0,7.0
1910086,CS,7,7,6.33,2.2,5.0,5.0
1910087,CS,5,5,8.3,3.5,4.0,4.0
1910088,CS,11,11,5.55,1.79,7.0,7.0
1910089,CS,11,11,7.65,3.16,8.0,8.0
1910090,CS,10,10,7.33,3.0,6.0,6.0
1910091,CS,12,12,6.15,2.27,11.0,11.0
1910092,CS,12,12,5.7,1.86,7.0,7.0
1910093,CS,12,12,7.42,2.98,11.0,11.0
1910094,CS,6,6,8.88,3.78,5.0,5.0
1910095,CS,11,11,5.55,1.9,10.0,10.0
1910096,CS,12,12,7.81,3.28,10.0,10.0
1910097,CS,12,12,7.3,2.79,7.0,7.0
1910098,CS,11,11,7.05,2.71,7.0,7.0
1910099,CS,10,10,7.0,2.8,10.0,10.0
1910100,CS,10,10,8.57,3.61,9.0,9.0
2010001,CS,6,6,8.5,3.58,4.0,4.0
2010002,CS,10,10,7.15,3.0,6.0,6.0
2010003,CS,11,11,8.17,3.54,8.0,8.0
2010004,CS,11,11,8.66,3.65,8.0,8.0
2010005,CS,10,10,5.43,1.71,7.0,7.0
2010006,CS,9,8,5.46,1.58,6.0,5.0
2010007,CS,12,12,6.23,2.38,8.0,8.0
2010008,CS,11,11,9.05,3.88,9.0,9.0
2010009,CS,12,12,8.91,3.91,7.0,7.0
2010010,CS,9,9,6.77,2.61,9.0,9.0
2010011,CS,5,3,5.14,1.38,4.0,2.0
2010012,CS,10,10,6.32,2.29,7.0,7.0
2010013,CS,5,5,7.64,3.12,4.0,4.0
2010014,CS,12,12,7.39,2.86,7.0,7.0
2010015,CS,11,11,7.78,3.32,9.0,9.0
2010016,CS,9,8,5.79,2.0,9.0,8.0
2010017,CS,10,10,6.9,2.67,6.0,6.0
2010018,CS,9,9,6.46,2.5,9.0,9.0
2010019,CS,12,12,5.66,2.0,7.0,7.0
2010020,CS,12,12,6.77,2.69,8.0,8.0
2010021,CS,11,1,2.65,0.17,9.0,1.0
2010022,CS,11,11,7.44,2.93,7.0,7.0
2010023,CS,9,9,8.16,3.44,9.0,9.0
2010024,CS,11,11,5.7,1.91,11.0,11.0
2010025,CS,5,4,5.42,1.75,4.0,3.0
2010026,CS,12,12,6.6,2.55,11.0,11.0
2010027,CS,10,10,7.35,3.14,7.0,7.0
2010028,CS,12,12,6.36,2.43,7.0,7.0
2010029,CS,11,11,8.15,3.47,7.0,7.0
2010030,CS,12,12,7.12,2.79,7.0,7.0
2010031,CS,6,6,6.28,2.38,4.0,4.0
2010032,CS,10,10,8.66,3.8,6.0,6.0
2010033,CS,8,8,7.3,3.0,5.0,5.0
2010034,CS,12,12,6.38,2.45,10.0,10.0
2010035,CS,10,10,7.17,2.75,6.0,6.0
2010036,CS,11,11,7.12,2.87,9.0,9.0
2010037,CS,12,12,8.32,3.64,8.0,8.0
2010038,CS,12,12,6.55,2.5,7.0,7.0
2010039,CS,6,6,7.35,3.0,4.0,4.0
2010040,CS,10,8,4.87,1.45,10.0,8.0
2010041,CS,12,11,5.84,2.0,10.0,9.0
2010042,CS,5,5,6.64,2.38,4.0,4.0
2010043,CS,6,6,5.63,1.75,4.0,4.0
2010044,CS,10,10,7.21,3.06,5.0,5.0
2010045,CS,6,6,7.93,3.25,4.0,4.0
2010046,CS,11,11,7.15,2.93,7.0,7.0
2010047,CS,12,11,5.64,1.85,10.0,9.0
2010048,CS,5,5,6.32,2.5,4.0,4.0
2010049,CS,11,11,8.69,3.68,8.0,8.0
2010050,CS,11,11,5.98,2.11,9.0,9.0
2010051,CS,11,3,4.17,0.83,9.0,3.0
2010052,CS,11,11,8.08,3.41,10.0,10.0
2010053,CS,9,9,6.28,2.58,6.0,6.0
2010054,CS,6,6,7.33,3.08,4.0,4.0
2010055,CS,6,6,8.38,3.58,4.0,4.0
2010056,CS,6,6,6.58,2.62,4.0,4.0
2010057,CS,10,10,7.12,2.93,10.0,10.0
2010058,CS,10,10,7.27,2.86,7.0,7.0
2010059,CS,11,11,8.57,3.69,10.0,10.0
2010060,CS,12,12,5.81,2.0,8.0,8.0
2010061,CS,12,12,6.63,2.56,9.0,9.0
2010062,CS,6,6,6.47,2.6,5.0,5.0
2010063,CS,12,12,6.63,2.61,9.0,9.0
2010064,CS,9,9,7.43,3.07,9.0,9.0
2010065,CS,12,12,6.62,2.56,8.0,8.0
2010066,CS,10,10,7.62,3.0,8.0,8.0
2010067,CS,9,9,7.89,3.33,6.0,6.0
2010068,CS,11,11,6.56,2.58,6.0,6.0
2010069,CS,12,12,9.24,3.87,7.0,7.0
2010070,CS,10,10,6.28,2.5,6.0,6.0
2010071,CS,12,12,8.4,3.59,7.0,7.0
2010072,CS,9,9,6.86,2.58,6.0,6.0
2010073,CS,10,10,7.15,2.97,6.0,6.0
2010074,CS,6,6,7.72,3.1,5.0,5.0
2010075,CS,11,11,8.87,3.81,10.0,10.0
2010076,CS,5,5,5.84,2.0,4.0,4.0
2010077,CS,11,11,8.59,3.72,8.0,8.0
2010078,CS,11,11,6.73,2.44,8.0,8.0
2010079,CS,12,1,2.49,0.35,10.0,1.0
2010080,CS,9,3,4.37,1.11,9.0,3.0
2010081,CS,5,5,7.46,3.0,4.0,4.0
2010082,CS,11,1,3.05,0.33,6.0,0.0
2010083,CS,10,10,7.3,2.93,10.0,10.0
2010084,CS,5,5,6.72,2.38,4.0,4.0
2010085,CS,10,10,7.58,3.17,9.0,9.0
2010086,CS,11,11,7.22,2.79,7.0,7.0
2010087,CS,6,6,9.48,4.0,4.0,4.0
2010088,CS,5,5,5.62,1.88,4.0,4.0
2010089,CS,9,9,9.31,3.9,6.0,6.0
2010090,CS,12,12,5.92,2.14,7.0,7.0
2010091,CS,10,10,7.32,2.86,7.0,7.0
2010092,CS,11,11,6.25,2.42,6.0,6.0
2010093,CS,8,8,6.76,2.8,5.0,5.0
2010094,CS,9,9,6.26,2.25,6.0,6.0
2010095,CS,12,12,7.42,3.19,7.0,7.0
2010096,CS,10,2,2.41,0.3,10.0,2.0
2010097,CS,11,11,6.35,2.42,6.0,6.0
2010098,CS,12,12,7.61,3.12,11.0,11.0
2010099,CS,8,8,8.06,3.44,8.0,8.0
2010100,CS,10,10,8.39,3.61,10.0,10.0
